"lat","lon","region"
"-23.6287048","-46.6315145","62"
"-23.6288757","-46.6317877","62"
"-23.6290365","-46.6320745","62"
"-23.6291785","-46.6323817","62"
"-23.6293192","-46.632721","62"
"-23.6293857","-46.6329229","62"
"-23.6294461","-46.6331248","62"
"-23.6294933","-46.6333098","62"
"-23.6295281","-46.6335048","62"
"-23.6295642","-46.6337525","62"
"-23.629594","-46.6340136","62"
"-23.6296209","-46.6342391","62"
"-23.6296476","-46.634498","62"
"-23.627576","-46.6297407","62"
"-23.6280754","-46.6300129","62"
"-23.6284099","-46.6301737","62"
"-23.628594","-46.6302115","62"
"-23.6289316","-46.6302534","62"
"-23.6295312","-46.6303189","62"
"-23.6300365","-46.6304264","62"
"-23.6301166","-46.6304622","62"
"-23.6302117","-46.6305237","62"
"-23.6302872","-46.630608","62"
"-23.6303606","-46.630732","62"
"-23.6304024","-46.6308732","62"
"-23.6304164","-46.6310097","62"
"-23.6304042","-46.6311309","62"
"-23.6303771","-46.6312404","62"
"-23.6303417","-46.6313277","62"
"-23.6302817","-46.6314256","62"
"-23.6302125","-46.6314907","62"
"-23.6301145","-46.6315452","62"
"-23.6300281","-46.6315672","62"
"-23.6299354","-46.6315681","62"
"-23.6298478","-46.6315517","62"
"-23.629773","-46.6315214","62"
"-23.6296971","-46.6314692","62"
"-23.6296382","-46.63141","62"
"-23.6295851","-46.6313305","62"
"-23.6295533","-46.6312675","62"
"-23.629516","-46.6311685","62"
"-23.6294852","-46.6310742","62"
"-23.6294149","-46.6308016","62"
"-23.6292821","-46.6311091","62"
"-23.6292678","-46.6312182","62"
"-23.6292347","-46.6313097","62"
"-23.6291786","-46.6313883","62"
"-23.6291038","-46.6314537","62"
"-23.6290455","-46.63148","62"
"-23.6289812","-46.6314976","62"
"-23.6289219","-46.6314944","62"
"-23.6288721","-46.6314788","62"
"-23.628786","-46.6314213","62"
"-23.6287051","-46.6313378","62"
"-23.6286215","-46.6312353","62"
"-23.6283951","-46.6309132","62"
"-23.628352","-46.6308244","62"
"-23.628323","-46.6307183","62"
"-23.6283293","-46.6306258","62"
"-23.6283532","-46.6305237","62"
"-23.6284024","-46.6304317","62"
"-23.628471","-46.6303553","62"
"-23.6285204","-46.6303167","62"
"-23.628584","-46.630284","62"
"-23.6287113","-46.630259","62"
"-23.6289316","-46.6302534","62"
"-23.6292553","-46.6296185","62"
"-23.6292454","-46.6292269","62"
"-23.6324895","-46.6298263","62"
"-23.6318686","-46.6297267","62"
"-23.6315","-46.6296408","62"
"-23.6313154","-46.6295989","62"
"-23.6311963","-46.6295825","62"
"-23.6311138","-46.6295661","62"
"-23.6310268","-46.6295425","62"
"-23.6309413","-46.6295096","62"
"-23.6308534","-46.6294731","62"
"-23.630729","-46.6294033","62"
"-23.6305807","-46.6292981","62"
"-23.630459","-46.6291843","62"
"-23.6303584","-46.6290597","62"
"-23.6302006","-46.6288371","62"
"-23.630158","-46.6287647","62"
"-23.6301041","-46.6286924","62"
"-23.6300134","-46.6286045","62"
"-23.6299453","-46.628549","62"
"-23.6298669","-46.6285036","62"
"-23.6297786","-46.628469","62"
"-23.6296676","-46.6284504","62"
"-23.6295411","-46.6284194","62"
"-23.62948","-46.6284037","62"
"-23.6293635","-46.6283383","62"
"-23.6292424","-46.6282301","62"
"-23.6291683","-46.6281399","62"
"-23.6290864","-46.6279732","62"
"-23.6290351","-46.627803","62"
"-23.6288475","-46.626917","62"
"-23.6285807","-46.6261963","62"
"-23.6285448","-46.6262466","62"
"-23.6285712","-46.626618","62"
"-23.6285697","-46.626721","62"
"-23.6285581","-46.6268241","62"
"-23.6285361","-46.6269207","62"
"-23.6285065","-46.6270173","62"
"-23.6283758","-46.627262","62"
"-23.628245","-46.6274397","62"
"-23.6280224","-46.6276777","62"
"-23.6277789","-46.6279372","62"
"-23.627603","-46.6281171","62"
"-23.6272862","-46.6284573","62"
"-23.6271764","-46.6286958","62"
"-23.6271899","-46.6288651","62"
"-23.6284953","-46.6280751","62"
"-23.6284069","-46.6280489","62"
"-23.6283618","-46.6280302","62"
"-23.6282854","-46.6279794","62"
"-23.6282568","-46.627953","62"
"-23.7030914","-46.5936768","33"
"-23.7029544","-46.5937357","33"
"-23.7024254","-46.5938613","33"
"-23.7020683","-46.5938861","33"
"-23.7018571","-46.5939008","33"
"-23.7016989","-46.5938932","33"
"-23.7014183","-46.5939218","33"
"-23.7013495","-46.5939057","33"
"-23.7010068","-46.5937505","33"
"-23.6996188","-46.5915903","35"
"-23.7002352","-46.59188","35"
"-23.7008851","-46.5921348","35"
"-23.701496","-46.5923801","35"
"-23.7018538","-46.5925337","35"
"-23.6994448","-46.5941367","34"
"-23.6991782","-46.5938978","34"
"-23.6990617","-46.5937934","34"
"-23.6987702","-46.5935778","34"
"-23.6987012","-46.5935599","34"
"-23.6986257","-46.5935635","34"
"-23.6985501","-46.5936065","34"
"-23.6983464","-46.5937859","34"
"-23.6982383","-46.5938652","34"
