route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"540351","0","540351_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"540351_ida"
"540538","0","540538_ida_0_0","Mogi das Cruzes (Centro)",,"0",,"540538_ida"
"540538","0","540538_volta_0_0","Biritiba Mirim (Casa Grande)",,"1",,"540538_volta"
"540577","0","540577_volta_0_0","Taboao da Serra (Jardim Sao Judas Tadeu)",,"1",,"540577_volta"
"540577","0","540577_ida_0_0","Sao Paulo (Metro Campo Limpo)",,"0",,"540577_ida"
"540587","0","540587_ida_0_0","Mogi das Cruzes (Condominio Arua)",,"0",,"540587_ida"
"540587","0","540587_volta_0_0","Suzano (Jardim Vitoria)",,"1",,"540587_volta"
"540600","0","540600_ida_0_0","Sao Paulo (Metro Conceicao)",,"0",,"540600_ida"
"540600","0","540600_volta_0_0","Taboao da Serra (Jardim Sao Judas Tadeu)",,"1",,"540600_volta"
"540612","0","540612_ida_0_0","Mogi das Cruzes (Estacao Cptm Estudantes)",,"0",,"540612_ida"
"540612","0","540612_volta_0_0","Suzano (Jardim Boa Vista)",,"1",,"540612_volta"
"540683","0","540683_volta_0_0","Osasco (Terminal Rodoviario Helena Maria)",,"1",,"540683_volta"
"540683","0","540683_ida_0_0","Sao Paulo (Pinheiros)",,"0",,"540683_ida"
"541087","0","541087_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre Leste)",,"1",,"541087_volta"
"541087","0","541087_ida_0_0","Sao Paulo (Jardim Climax)",,"0",,"541087_ida"
"541264","0","541264_ida_0_0","Santo Andre (Shopping Abc)",,"0",,"541264_ida"
"541264","0","541264_volta_0_0","Maua (Terminal Metropolitano Sonia Maria)",,"1",,"541264_volta"
"541400","0","541400_volta_0_0","Mogi das Cruzes (Estacao Cptm Estudantes)",,"1",,"541400_volta"
"541400","0","541400_ida_0_0","Sao Paulo (Metro Bras)",,"0",,"541400_ida"
"541457","0","541457_ida_0_0","Sao Paulo (Pinheiros)",,"0",,"541457_ida"
"541457","0","541457_volta_0_0","Embu das Artes (Terminal Casa Branca)",,"1",,"541457_volta"
"541471","0","541471_volta_0_0","Embu das Artes (Centro)",,"1",,"541471_volta"
"541471","0","541471_ida_0_0","Sao Paulo (Metro Campo Limpo)",,"0",,"541471_ida"
